Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Range_km,Efficiency_Wh_km,TopSpeed_kmh,Accel_sec,Cost_per_100km_EUR,Efficiency_Rating,Range_Category,Annual_Savings_EUR,Value_Score
MG MG5 Electric,Battery Electric Vehicle |       57 kWh,8.3 sec,180 km/h,340 km,168 Wh/km,440 km/h,Front Wheel Drive,5,"€35,000",,340.0,168.0,180.0,8.3,5.04,Good,Long (300-400km),1123.2,20.24
MG Marvel R Performance,Battery Electric Vehicle |       65 kWh,4.9 sec,200 km/h,330 km,197 Wh/km,380 km/h,All Wheel Drive,5,"€50,000",,330.0,197.0,200.0,4.9,5.91,Good,Long (300-400km),1018.8,16.75
Hyundai IONIQ 5 Standard Range 2WD,Battery Electric Vehicle |       58 kWh,8.5 sec,185 km/h,310 km,187 Wh/km,720 km/h,Rear Wheel Drive,5,"€41,900","£36,995",310.0,187.0,185.0,8.5,5.61,Good,Long (300-400km),1054.8,16.58
Hyundai IONIQ 5 Standard Range AWD,Battery Electric Vehicle |       58 kWh,6.1 sec,185 km/h,305 km,190 Wh/km,710 km/h,All Wheel Drive,5,"€45,700",,305.0,190.0,185.0,6.1,5.7,Good,Long (300-400km),1044.0,16.05
Hyundai IONIQ 5 Long Range 2WD,Battery Electric Vehicle |       72.6 kWh,7.4 sec,185 km/h,385 km,189 Wh/km,890 km/h,Rear Wheel Drive,5,"€45,100","£41,945",385.0,189.0,185.0,7.4,5.67,Good,Long (300-400km),1047.6,20.37
Hyundai IONIQ 5 Long Range AWD,Battery Electric Vehicle |       72.6 kWh,5.2 sec,185 km/h,375 km,194 Wh/km,870 km/h,All Wheel Drive,5,"€48,900","£45,145",375.0,194.0,185.0,5.2,5.82,Good,Long (300-400km),1029.6,19.33
Kia EV6 Standard Range 2WD,Battery Electric Vehicle |       58 kWh,8.5 sec,185 km/h,320 km,181 Wh/km,740 km/h,Rear Wheel Drive,5,"€44,990","£40,985",320.0,181.0,185.0,8.5,5.43,Good,Long (300-400km),1076.4,17.68
Kia EV6 Long Range 2WD,Battery Electric Vehicle |       77.4 kWh,7.5 sec,185 km/h,420 km,184 Wh/km,980 km/h,Rear Wheel Drive,5,"€54,990","£48,000",420.0,184.0,185.0,7.5,5.52,Good,Ultra-Long (>400km),1065.6,22.83
Kia EV6 Long Range AWD,Battery Electric Vehicle |       77.4 kWh,5.4 sec,185 km/h,410 km,189 Wh/km,950 km/h,All Wheel Drive,5,"€56,000","£52,000",410.0,189.0,185.0,5.4,5.67,Good,Ultra-Long (>400km),1047.6,21.69
Mercedes EQS 450+,Battery Electric Vehicle |       107.8 kWh,6.2 sec,210 km/h,640 km,168 Wh/km,840 km/h,Rear Wheel Drive,5,"€106,374","£95,000",640.0,168.0,210.0,6.2,5.04,Good,Ultra-Long (>400km),1123.2,38.1
Mercedes EQS 580 4MATIC,Battery Electric Vehicle |       107.8 kWh,4.3 sec,210 km/h,610 km,177 Wh/km,800 km/h,All Wheel Drive,5,"€135,529","£115,000",610.0,177.0,210.0,4.3,5.31,Good,Ultra-Long (>400km),1090.8,34.46
Tesla Model 3 Standard Range Plus,Battery Electric Vehicle |       50 kWh,5.6 sec,225 km/h,340 km,147 Wh/km,680 km/h,Rear Wheel Drive,5,"€43,560","£40,990",340.0,147.0,225.0,5.6,4.41,Excellent,Long (300-400km),1198.8,23.13
Polestar 2 Standard Range Single Motor,Battery Electric Vehicle |       61 kWh,7.4 sec,160 km/h,350 km,174 Wh/km,450 km/h,Front Wheel Drive,5,"€46,500","£39,900",350.0,174.0,160.0,7.4,5.22,Good,Long (300-400km),1101.6,20.11
Polestar 2 Long Range Single Motor,Battery Electric Vehicle |       75 kWh,7.4 sec,160 km/h,425 km,176 Wh/km,550 km/h,Front Wheel Drive,5,"€49,500","£42,900",425.0,176.0,160.0,7.4,5.28,Good,Ultra-Long (>400km),1094.4,24.15
Polestar 2 Long Range Dual Motor,Battery Electric Vehicle |       75 kWh,4.7 sec,205 km/h,395 km,190 Wh/km,510 km/h,All Wheel Drive,5,"€52,500","£45,900",395.0,190.0,205.0,4.7,5.7,Good,Long (300-400km),1044.0,20.79
Volkswagen ID.4 Pure,Battery Electric Vehicle |       52 kWh,10.9 sec,160 km/h,285 km,182 Wh/km,410 km/h,Rear Wheel Drive,5,"€36,950","£32,150",285.0,182.0,160.0,10.9,5.46,Good,Medium (200-300km),1072.8,15.66
Audi Q4 e-tron 40,Battery Electric Vehicle |       76.6 kWh,8.5 sec,160 km/h,405 km,189 Wh/km,500 km/h,Rear Wheel Drive,5,"€47,500","£44,990",405.0,189.0,160.0,8.5,5.67,Good,Ultra-Long (>400km),1047.6,21.43
Audi Q4 e-tron 50 quattro,Battery Electric Vehicle |       76.6 kWh,6.2 sec,180 km/h,385 km,199 Wh/km,470 km/h,All Wheel Drive,5,"€53,600","£51,370",385.0,199.0,180.0,6.2,5.97,Good,Long (300-400km),1011.6,19.35
Audi Q4 Sportback e-tron 50 quattro,Battery Electric Vehicle |       76.6 kWh,6.2 sec,180 km/h,400 km,192 Wh/km,490 km/h,All Wheel Drive,5,"€55,600","£52,870",400.0,192.0,180.0,6.2,5.76,Good,Long (300-400km),1036.8,20.83
Mercedes EQB 350 4MATIC,Battery Electric Vehicle |       66.5 kWh,6.5 sec,160 km/h,340 km,196 Wh/km,400 km/h,All Wheel Drive,7,"€60,000","£50,000",340.0,196.0,160.0,6.5,5.88,Good,Long (300-400km),1022.4,17.35
Volkswagen ID.4 GTX,Battery Electric Vehicle |       77 kWh,6.2 sec,180 km/h,400 km,193 Wh/km,490 km/h,All Wheel Drive,5,"€50,415","£55,540",400.0,193.0,180.0,6.2,5.79,Good,Long (300-400km),1033.2,20.73
Mercedes EQA 300 4MATIC,Battery Electric Vehicle |       66.5 kWh,7.7 sec,160 km/h,350 km,190 Wh/km,420 km/h,All Wheel Drive,5,"€53,538",,350.0,190.0,160.0,7.7,5.7,Good,Long (300-400km),1044.0,18.42
Mercedes EQA 350 4MATIC,Battery Electric Vehicle |       66.5 kWh,6.0 sec,160 km/h,350 km,190 Wh/km,420 km/h,All Wheel Drive,5,"€56,216",,350.0,190.0,160.0,6.0,5.7,Good,Long (300-400km),1044.0,18.42
Toyota PROACE Verso M 50 kWh,Battery Electric Vehicle |       45 kWh,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"€58,530",,185.0,243.0,130.0,12.1,7.29,Average,Short (<200km),853.2,7.61
Toyota PROACE Verso L 50 kWh,Battery Electric Vehicle |       45 kWh,12.1 sec,130 km/h,180 km,250 Wh/km,240 km/h,Front Wheel Drive,7,"€59,385",,180.0,250.0,130.0,12.1,7.5,Average,Short (<200km),828.0,7.2
Toyota PROACE Verso M 75 kWh,Battery Electric Vehicle |       68 kWh,13.1 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"€64,530",,270.0,252.0,130.0,13.1,7.56,Poor,Medium (200-300km),820.8,10.71
Toyota PROACE Verso L 75 kWh,Battery Electric Vehicle |       68 kWh,13.1 sec,130 km/h,270 km,252 Wh/km,290 km/h,Front Wheel Drive,7,"€65,385",,270.0,252.0,130.0,13.1,7.56,Poor,Medium (200-300km),820.8,10.71
CUPRA Born 150 kW - 62 kWh,Battery Electric Vehicle |       58 kWh,7.3 sec,160 km/h,350 km,166 Wh/km,440 km/h,Rear Wheel Drive,5,"€36,770","£30,500",350.0,166.0,160.0,7.3,4.98,Good,Long (300-400km),1130.4,21.08
CUPRA Born 170 kW - 62 kWh,Battery Electric Vehicle |       58 kWh,6.6 sec,160 km/h,345 km,168 Wh/km,430 km/h,Rear Wheel Drive,5,"€39,000","£31,500",345.0,168.0,160.0,6.6,5.04,Good,Long (300-400km),1123.2,20.54
CUPRA Born 170 kW - 82 kWh,Battery Electric Vehicle |       77 kWh,7.0 sec,160 km/h,450 km,171 Wh/km,550 km/h,Rear Wheel Drive,5,"€43,000","£42,000",450.0,171.0,160.0,7.0,5.13,Good,Ultra-Long (>400km),1112.4,26.32
BMW i4 M50,Battery Electric Vehicle |       80.7 kWh,3.9 sec,225 km/h,450 km,179 Wh/km,630 km/h,All Wheel Drive,5,"€69,900","£63,905",450.0,179.0,225.0,3.9,5.37,Good,Ultra-Long (>400km),1083.6,25.14
Volvo XC40 Recharge Twin Pure Electric,Battery Electric Vehicle |       75 kWh,4.9 sec,180 km/h,340 km,221 Wh/km,440 km/h,All Wheel Drive,5,"€59,250","£49,950",340.0,221.0,180.0,4.9,6.63,Average,Long (300-400km),932.4,15.38
Renault Megane E-Tech Electric,Battery Electric Vehicle |       60 kWh,8.0 sec,160 km/h,335 km,179 Wh/km,480 km/h,Front Wheel Drive,5,"€38,000","£32,500",335.0,179.0,160.0,8.0,5.37,Good,Long (300-400km),1083.6,18.72
Peugeot e-Rifter Standard 50 kWh,Battery Electric Vehicle |       45 kWh,11.7 sec,135 km/h,200 km,225 Wh/km,270 km/h,Front Wheel Drive,7,"€37,590","£30,375",200.0,225.0,135.0,11.7,6.75,Average,Short (<200km),918.0,8.89
Peugeot e-Rifter Long 50 kWh,Battery Electric Vehicle |       45 kWh,11.7 sec,135 km/h,195 km,231 Wh/km,260 km/h,Front Wheel Drive,7,"€42,590","£32,455",195.0,231.0,135.0,11.7,6.93,Average,Short (<200km),896.4,8.44
MG Marvel R,Battery Electric Vehicle |       65 kWh,7.9 sec,200 km/h,340 km,191 Wh/km,390 km/h,Rear Wheel Drive,5,"€40,000",,340.0,191.0,200.0,7.9,5.73,Good,Long (300-400km),1040.4,17.8
Tesla Model 3 Long Range Dual Motor,Battery Electric Vehicle |       76 kWh,4.4 sec,233 km/h,490 km,155 Wh/km,820 km/h,All Wheel Drive,5,"€53,560",,490.0,155.0,233.0,4.4,4.65,Good,Ultra-Long (>400km),1170.0,31.61
MG MG5 EV Long Range,Battery Electric Vehicle |       57 kWh,7.7 sec,185 km/h,340 km,168 Wh/km,340 km/h,Front Wheel Drive,5,,"£26,495",340.0,168.0,185.0,7.7,5.04,Good,Long (300-400km),1123.2,20.24
Audi Q4 e-tron 45 quattro,Battery Electric Vehicle |       76.6 kWh,6.9 sec,180 km/h,385 km,199 Wh/km,470 km/h,All Wheel Drive,5,"€50,900",,385.0,199.0,180.0,6.9,5.97,Good,Long (300-400km),1011.6,19.35
Audi Q4 Sportback e-tron 40,Battery Electric Vehicle |       76.6 kWh,8.5 sec,160 km/h,425 km,180 Wh/km,520 km/h,Rear Wheel Drive,5,"€49,500",,425.0,180.0,160.0,8.5,5.4,Good,Ultra-Long (>400km),1080.0,23.61
