Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK,Range_km,Efficiency_Wh_km,TopSpeed_kmh,Accel_sec,Cost_per_100km_EUR,Efficiency_Rating,Range_Category,Annual_Savings_EUR,Value_Score
Volkswagen ID.4 1st,Battery Electric Vehicle |       77 kWh,8.5 sec,160 km/h,410 km,188 Wh/km,500 km/h,Rear Wheel Drive,5,,"£40,800",410.0,188.0,160.0,8.5,5.64,Good,Ultra-Long (>400km),1051.2,21.81
Byton M-Byte 95 kWh 2WD,Battery Electric Vehicle |       95 kWh,7.5 sec,190 km/h,400 km,238 Wh/km,480 km/h,Rear Wheel Drive,5,"€62,000","£57,500",400.0,238.0,190.0,7.5,7.14,Average,Long (300-400km),871.2,16.81
Fiat 500e Cabrio,Battery Electric Vehicle |       37.3 kWh,9.0 sec,150 km/h,245 km,152 Wh/km,410 km/h,Front Wheel Drive,4,"€30,560","£26,645",245.0,152.0,150.0,9.0,4.56,Good,Medium (200-300km),1180.8,16.12
Opel Mokka-e,Battery Electric Vehicle |       45 kWh,8.5 sec,150 km/h,255 km,176 Wh/km,340 km/h,Front Wheel Drive,5,"€34,110","£30,540",255.0,176.0,150.0,8.5,5.28,Good,Medium (200-300km),1094.4,14.49
Skoda Enyaq iV 60,Battery Electric Vehicle |       58 kWh,8.7 sec,160 km/h,330 km,176 Wh/km,420 km/h,Rear Wheel Drive,5,"€38,850","£31,995",330.0,176.0,160.0,8.7,5.28,Good,Long (300-400km),1094.4,18.75
Skoda Enyaq iV 80,Battery Electric Vehicle |       77 kWh,8.6 sec,160 km/h,420 km,183 Wh/km,510 km/h,Rear Wheel Drive,5,"€43,950","£39,350",420.0,183.0,160.0,8.6,5.49,Good,Ultra-Long (>400km),1069.2,22.95
Skoda Enyaq iV 80X,Battery Electric Vehicle |       77 kWh,6.9 sec,160 km/h,405 km,190 Wh/km,500 km/h,All Wheel Drive,5,"€47,000","£42,000",405.0,190.0,160.0,6.9,5.7,Good,Ultra-Long (>400km),1044.0,21.32
Skoda Enyaq iV RS,Battery Electric Vehicle |       77 kWh,6.2 sec,180 km/h,395 km,195 Wh/km,480 km/h,All Wheel Drive,5,"€50,000","£45,000",395.0,195.0,180.0,6.2,5.85,Good,Long (300-400km),1026.0,20.26
Fiat 500e Hatchback 42 kWh,Battery Electric Vehicle |       37.3 kWh,9.0 sec,150 km/h,250 km,149 Wh/km,420 km/h,Front Wheel Drive,4,"€27,560","£23,995",250.0,149.0,150.0,9.0,4.47,Excellent,Medium (200-300km),1191.6,16.78
Citroen e-C4,Battery Electric Vehicle |       45 kWh,9.7 sec,150 km/h,250 km,180 Wh/km,330 km/h,Front Wheel Drive,5,"€34,640","£30,895",250.0,180.0,150.0,9.7,5.4,Good,Medium (200-300km),1080.0,13.89
Jaguar I-Pace EV400,Battery Electric Vehicle |       84.7 kWh,4.8 sec,200 km/h,365 km,232 Wh/km,340 km/h,All Wheel Drive,5,"€77,300","£65,195",365.0,232.0,200.0,4.8,6.96,Average,Long (300-400km),892.8,15.73
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 km/h,370 km,173 Wh/km,350 km/h,Front Wheel Drive,5,"€37,790",,370.0,173.0,167.0,7.9,5.19,Good,Long (300-400km),1105.2,21.39
Kia e-Soul 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.9 sec,157 km/h,230 km,170 Wh/km,220 km/h,Front Wheel Drive,5,"€33,990",,230.0,170.0,157.0,9.9,5.1,Good,Medium (200-300km),1116.0,13.53
Audi Q4 Sportback e-tron 35,Battery Electric Vehicle |       51.5 kWh,9.0 sec,160 km/h,295 km,175 Wh/km,410 km/h,Rear Wheel Drive,5,"€43,900","£42,250",295.0,175.0,160.0,9.0,5.25,Good,Medium (200-300km),1098.0,16.86
Nissan Ariya 63kWh,Battery Electric Vehicle |       63 kWh,7.5 sec,160 km/h,335 km,188 Wh/km,450 km/h,Front Wheel Drive,5,"€45,000","£40,000",335.0,188.0,160.0,7.5,5.64,Good,Long (300-400km),1051.2,17.82
Nissan Ariya 87kWh,Battery Electric Vehicle |       87 kWh,7.6 sec,160 km/h,445 km,196 Wh/km,530 km/h,Front Wheel Drive,5,"€50,000","£45,000",445.0,196.0,160.0,7.6,5.88,Good,Ultra-Long (>400km),1022.4,22.7
Nissan Ariya e-4ORCE 63kWh,Battery Electric Vehicle |       63 kWh,5.9 sec,200 km/h,325 km,194 Wh/km,440 km/h,All Wheel Drive,5,"€50,000","£45,000",325.0,194.0,200.0,5.9,5.82,Good,Long (300-400km),1029.6,16.75
Nissan Ariya e-4ORCE 87kWh,Battery Electric Vehicle |       87 kWh,5.7 sec,200 km/h,420 km,207 Wh/km,500 km/h,All Wheel Drive,5,"€57,500","£52,500",420.0,207.0,200.0,5.7,6.21,Average,Ultra-Long (>400km),982.8,20.29
Nissan Ariya e-4ORCE 87kWh Performance,Battery Electric Vehicle |       87 kWh,5.1 sec,200 km/h,385 km,226 Wh/km,460 km/h,All Wheel Drive,5,"€65,000","£57,500",385.0,226.0,200.0,5.1,6.78,Average,Long (300-400km),914.4,17.04
Volkswagen ID.3 Pro Performance,Battery Electric Vehicle |       58 kWh,7.3 sec,160 km/h,350 km,166 Wh/km,440 km/h,Rear Wheel Drive,5,"€36,495","£29,740",350.0,166.0,160.0,7.3,4.98,Good,Long (300-400km),1130.4,21.08
MG MG5 EV,Battery Electric Vehicle |       48.8 kWh,7.7 sec,185 km/h,295 km,165 Wh/km,340 km/h,Front Wheel Drive,5,,"£25,095",295.0,165.0,185.0,7.7,4.95,Good,Medium (200-300km),1134.0,17.88
Volkswagen ID.4 Pro Performance,Battery Electric Vehicle |       77 kWh,8.5 sec,160 km/h,410 km,188 Wh/km,500 km/h,Rear Wheel Drive,5,"€44,450","£41,570",410.0,188.0,160.0,8.5,5.64,Good,Ultra-Long (>400km),1051.2,21.81
Mercedes EQV 300 Extra-Long,Battery Electric Vehicle |       90 kWh,12.1 sec,160 km/h,320 km,281 Wh/km,280 km/h,Front Wheel Drive,7,"€72,281",,320.0,281.0,160.0,12.1,8.43,Poor,Long (300-400km),716.4,11.39
Lucid Air Grand Touring,Battery Electric Vehicle |       110 kWh,3.2 sec,270 km/h,660 km,167 Wh/km,1380 km/h,All Wheel Drive,5,"€140,000","£125,000",660.0,167.0,270.0,3.2,5.01,Good,Ultra-Long (>400km),1126.8,39.52
Lucid Air Touring,Battery Electric Vehicle |       85 kWh,3.4 sec,250 km/h,530 km,160 Wh/km,1390 km/h,All Wheel Drive,5,"€95,000","£90,000",530.0,160.0,250.0,3.4,4.8,Good,Ultra-Long (>400km),1152.0,33.12
Lucid Air Pure,Battery Electric Vehicle |       85 kWh,4.2 sec,200 km/h,540 km,157 Wh/km,1410 km/h,Rear Wheel Drive,5,"€80,000","£70,000",540.0,157.0,200.0,4.2,4.71,Good,Ultra-Long (>400km),1162.8,34.39
Dacia Spring Electric,Battery Electric Vehicle |       26.8 kWh,15.0 sec,125 km/h,170 km,158 Wh/km,120 km/h,Front Wheel Drive,4,"€20,490",,170.0,158.0,125.0,15.0,4.74,Good,Short (<200km),1159.2,10.76
Tesla Model 3 Standard Range Plus LFP,Battery Electric Vehicle |       51 kWh,5.6 sec,225 km/h,340 km,150 Wh/km,570 km/h,Rear Wheel Drive,5,"€43,560","£40,990",340.0,150.0,225.0,5.6,4.5,Excellent,Long (300-400km),1188.0,22.67
Tesla Model 3 Long Range Dual Motor,Battery Electric Vehicle |       70 kWh,4.4 sec,233 km/h,455 km,154 Wh/km,570 km/h,All Wheel Drive,5,,"£48,490",455.0,154.0,233.0,4.4,4.62,Good,Ultra-Long (>400km),1173.6,29.55
Tesla Model 3 Performance,Battery Electric Vehicle |       76 kWh,3.3 sec,261 km/h,470 km,162 Wh/km,790 km/h,All Wheel Drive,5,"€58,560","£59,990",470.0,162.0,261.0,3.3,4.86,Good,Ultra-Long (>400km),1144.8,29.01
Fiat 500e Hatchback 24 kWh,Battery Electric Vehicle |       23.8 kWh,9.5 sec,135 km/h,165 km,144 Wh/km,260 km/h,Front Wheel Drive,4,"€23,560","£20,495",165.0,144.0,135.0,9.5,4.32,Excellent,Short (<200km),1209.6,11.46
Fiat 500e 3+1,Battery Electric Vehicle |       37.3 kWh,9.0 sec,150 km/h,245 km,152 Wh/km,410 km/h,Front Wheel Drive,4,"€29,560",,245.0,152.0,150.0,9.0,4.56,Good,Medium (200-300km),1180.8,16.12
Mercedes EQC 400 4MATIC,Battery Electric Vehicle |       80 kWh,5.1 sec,180 km/h,370 km,216 Wh/km,440 km/h,All Wheel Drive,5,"€66,069","£65,720",370.0,216.0,180.0,5.1,6.48,Average,Long (300-400km),950.4,17.13
Kia e-Niro 64 kWh,Battery Electric Vehicle |       64 kWh,7.8 sec,167 km/h,370 km,173 Wh/km,350 km/h,Front Wheel Drive,5,"€39,090","£32,445",370.0,173.0,167.0,7.8,5.19,Good,Long (300-400km),1105.2,21.39
Kia e-Niro 39 kWh,Battery Electric Vehicle |       39.2 kWh,9.8 sec,155 km/h,235 km,167 Wh/km,230 km/h,Front Wheel Drive,5,"€35,290","£30,345",235.0,167.0,155.0,9.8,5.01,Good,Medium (200-300km),1126.8,14.07
Citroen e-SpaceTourer XS 50 kWh,Battery Electric Vehicle |       45 kWh,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"€50,880",,185.0,243.0,130.0,12.1,7.29,Average,Short (<200km),853.2,7.61
Citroen e-SpaceTourer M 50 kWh,Battery Electric Vehicle |       45 kWh,12.1 sec,130 km/h,185 km,243 Wh/km,250 km/h,Front Wheel Drive,7,"€51,440","£31,995",185.0,243.0,130.0,12.1,7.29,Average,Short (<200km),853.2,7.61
